id|device_id|created_at|published_at_utc|float_value|int_value|str_value|event_name
661|e00fce685f262f4ea1486367|2022-11-23 20:19:59.663634+00|2022-11-23 20:19:59.579+00|71.599998|||temp
662|250019001247343339383037|2022-11-23 20:21:56.618698+00|2022-11-23 20:21:56.542+00|92.276929|||tempA0
663|250019001247343339383037|2022-11-23 20:21:56.647305+00|2022-11-23 20:21:56.585+00||4||wifi
664|250019001247343339383037|2022-11-23 20:21:56.65259+00|2022-11-23 20:21:56.585+00|89.810992|||tempA4
665|e00fce685f262f4ea1486367|2022-11-23 20:24:59.631175+00|2022-11-23 20:24:59.607+00|71.599998|||temp
666|250019001247343339383037|2022-11-23 20:26:57.846334+00|2022-11-23 20:26:57.825+00|92.421983|||tempA0
667|250019001247343339383037|2022-11-23 20:26:57.928684+00|2022-11-23 20:26:57.907+00||4||wifi
668|250019001247343339383037|2022-11-23 20:26:57.931447+00|2022-11-23 20:26:57.907+00|90.391207|||tempA4
669|e00fce685f262f4ea1486367|2022-11-23 20:29:59.670561+00|2022-11-23 20:29:59.639+00|71.599998|||temp
670|250019001247343339383037|2022-11-23 20:31:56.557337+00|2022-11-23 20:31:56.539+00|92.276929|||tempA0
671|250019001247343339383037|2022-11-23 20:31:56.642718+00|2022-11-23 20:31:56.621+00|90.536261|||tempA4
672|250019001247343339383037|2022-11-23 20:31:56.645665+00|2022-11-23 20:31:56.621+00||4||wifi
673|e00fce685f262f4ea1486367|2022-11-23 20:34:59.696585+00|2022-11-23 20:34:59.671+00|71.599998|||temp
674|250019001247343339383037|2022-11-23 20:36:56.55543+00|2022-11-23 20:36:56.536+00|91.986811|||tempA0
675|250019001247343339383037|2022-11-23 20:36:56.633879+00|2022-11-23 20:36:56.615+00||4||wifi
676|250019001247343339383037|2022-11-23 20:36:56.635613+00|2022-11-23 20:36:56.615+00|91.116477|||tempA4
677|e00fce685f262f4ea1486367|2022-11-23 20:39:59.726958+00|2022-11-23 20:39:59.704+00|69.800003|||temp
678|250019001247343339383037|2022-11-23 20:41:56.613502+00|2022-11-23 20:41:56.539+00|92.131865|||tempA0
